IdModulo	| Fabricante | Modelo						| Potencia	| Vmp	| Imp	| Isc	| Vca	| Eficiencia | Dimensiones | Peso | NumCelulas | Tipo | TaTONC | SalidaPotencia | TensionVacio | Tolerancia |
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 1			| PHONOSOLAR | "PS460M4-24/TH"				| 460		| 41.79 | 11.01 | 11.58 | 49.52 | 0          |             | 0    | 0          | 0    |		   | 0              | 0            | 0			|
| 2			| PHONOSOLAR | "PS455M4-24/TH"				| 455		| 41.6  | 0     | 11.47 | 0     | 0          |             | 0    | 0          | 0    |        | 0              | 0            | 0			|
| 3			| PHONOSOLAR | "PS460M5GFH-24/TSH"			| 460		| 45.3  | 10.15 | 10.94 | 53.35 | 21.16      | 2094X1038   | 27.5 | 166        |      | 25±2   | 0				| 0            | 0			|
| 4			| JA_SOLAR   | "JAM72S20 450/MR"			| 450		| 41.52 | 0     | 11.36 | 0     | 0          |             | 0    | 0          | 0    |        | 0				| 0            | 0			|
| 5			| JA_SOLAR   | "JAM72S20 455/MR"			| 455		| 41.82 | 0     | 11.41 | 0     | 0          |             | 0    | 0          | 0    |        | 0				| 0            | 0			|
| 6			| JA_SOLAR   | "JAM72S20 460/MR"			| 460		| 42.13 | 10.92 | 11.45 | 50.01 | 0          |             | 0    | 0          | 0    |        | 0				| 0            | 0			|
| 7			| JA_SOLAR   | "JAM72S20 545/MR"			| 545		| 41.8  | 0     | 13.93 | 0     | 0          |             | 0    | 0          | 0    |        | 0				| 0            | 0			|
| 8			| JA_SOLAR   | "JAM66S30 500MR"				| 500		| 38.35 | 13.04 | 13.93 | 45.59 | 21         | 2094x1134   | 26.3 | 132        | MONO | 25±2   | -0.35			| 0.275        | 5			|
| 9			| TRINA SOLAR| "TSM-DE17M 455"				| 455		| 0     | 0     | 0     | 0     | 0          |             | 0    | 0          | 0    |        | 0				| 0            | 0			|
| 10        | SOLARDAY   | "MPSHC144 450"				| 450		| 41.4  | 11.54 | 0     | 0     | 0          |             | 0    | 0          | 0    |        | 0				| 0            | 0			|
| 11        | SOLARDAY   | "MPSHC144 455"				| 450		| 41.59 | 11.59 | 0     | 0     | 0          |             | 0    | 0          | 0    |        | 0				| 0            | 0			|
| 12		| SUNPOWER   | "SP-P6-410-BLK"				| 410		| 29.9  | 13.73 | 14.63 | 35.9  | 0          |             | 0    | 0          | 0    |        | 0				| 0            | 0			|
| 13		| FUTURASUN  | "FU-420_ZEBRA_Pro-ALL_BLACK" | 420		| 38.74 | 10.85 | 11.66 | 45.91 | 0          |             | 0    | 0          | 0    |        | 0				| 0            | 0			|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

  IdInversor  | Fabricante | Modelo						| PotenciaNominal | VO   | IO    | Vmin | Vmax | CorrienteMaxString | VminMPPT | VmaxMPPT | IntensidadMaxMPPT | Rendimiento|
|-------------|------------|----------------------------|-----------------|------|-------|------|------|--------------------|----------|----------|-------------------|------------|
| 1           | ENPHASE    | "IQ7A-72-2-INT"			| 0.349           | 230  | 1.52  | 33   | 58   | 15					| 0        | 0        | 0                 | 0          |
| 2           | KOSTAL     | "KOSTAL PIKO MP PLUS 5.0-2"| 5.2             | 0    | 0     | 75   | 750  | 13					| 0        | 0        | 0                 | 0          |
| 3           | HUAWEI     | "SUN2000 100KTL-M1"		| 100             | 400  | 160.4 | 0    | 0    | 0					| 0        | 0        | 0                 | 0          |
| 4           | HUAWEI     | "SUN2000 10KTL-M0"			| 10              | 400  | 16.9  | 0    | 0    | 0					| 0        | 0        | 0                 | 0          |
| 5           | HUAWEI     | "SUN2000 15KTL-M5"			| 15              | 400  | 28.6  | 200  | 800  | 22					| 0        | 0        | 0                 | 0          |
| 6           | HUAWEI     | "SUN2000 185KTL-H1"		| 185             | 800  | 134.9 | 0    | 0    | 0					| 0        | 0        | 0                 | 0          |
| 7		      | HUAWEI     | "SUN2000 20KTL-M0"			| 20              | 400  | 33.5  | 0    | 0    | 0					| 0        | 0        | 0                 | 0          |
| 8			  | HUAWEI     | "SUN2000 20KTL-M2"			| 20              | 400  | 335   | 0    | 0    | 0					| 0        | 0        | 0                 | 0          |
| 9		  	  | HUAWEI     | "SUN2000 2KTL-L1"			| 2               | 230  | 10    | 100  | 600  | 12.5				| 0        | 0        | 0                 | 0          |
| 10          | HUAWEI     | "SUN2000 3,68KTL-M1"		| 3.68            | 230  | 16    | 0    | 0    | 0					| 0        | 0        | 0                 | 0          |
| 11          | HUAWEI     | "SUN2000 33KTL-A"			| 30              | 400  | 48    | 0    | 0    | 0					| 0        | 0        | 0                 | 0          |
| 12          | HUAWEI     | "SUN2000 36KTL"			| 36              | 400  | 57.8  | 0    | 0    | 0					| 0        | 0        | 0                 | 0          |
| 13          | HUAWEI     | "SUN2000 3KTL-M1"			| 3               | 400  | 5.1   | 0    | 0    | 0					| 0        | 0        | 0                 | 0          |
| 14          | HUAWEI     | "SUN2000 4KTL-L1"			| 4               | 230  | 15    | 100  | 600  | 12.5				| 100      | 250      | 0                 | 0          |
| 15          | HUAWEI     | "SUN2000 5KTL-L1"			| 5               | 230  | 25    | 100  | 600  | 12.5				| 100      | 250      | 0                 | 0          |
| 16          | HUAWEI     | "SUN2000 60KTL-M0"			| 60              | 400  | 95.3  | 0    | 0    | 0					| 0        | 0        | 0                 | 0          |
| 17          | HUAWEI     | "SUN2000 6KTL-L1"			| 6               | 230  | 27.3  | 100  | 600  | 12.5				| 0        | 0        | 0                 | 0          |
| 18          | HUAWEI     | "SUN2000 8KTL-M1"			| 8               | 400  | 13.5  | 0    | 0    | 0					| 0        | 0        | 0                 | 0          |
| 19          | HUAWEI     | "SUN2000-50KTL-M3"			| 50              | 400  | 66.5  | 200  | 1000 | 0					| 0        | 0        | 0                 | 0          |
| 20          | SMA        | "SUNNY HIGH PEAK 100-20"	| 100             | 400  | 151   | 200  | 1000 | 22                 | 0        | 0        | 0                 | 0          |
| 21          | SMA        | "SUNNY HIGH PEAK 150-20"	| 150             | 600  | 151   | 0    | 0    | 0                  | 0        | 0        | 0                 | 0          |
| 22          | SMA        | "SUNNY TRIPOWER 15000TL"	| 15              | 400  | 29    | 0    | 0    | 0                  | 0        | 0        | 0                 | 0          |
| 23          | SMA        | "SUNNY TRIPOWER 20000TL"	| 20              | 400  | 29    | 0    | 0    | 0                  | 0        | 0        | 0                 | 0          |
| 24          | SMA        | "SUNNY TRIPOWER 25000TL"	| 25              | 400  | 36.2  | 0    | 0    | 0                  | 0        | 0        | 0                 | 0          |
| 25          | SMA        | "SUNNY TRIPOWER 6.0"		| 6               | 400  | 9.1   | 0    | 0    | 0                  | 0        | 0        | 0                 | 0          |
| 26          | SMA        | "SUNNY TRIPOWER 8.0"		| 8               | 400  | 12.1  | 0    | 0    | 0                  | 0        | 0        | 0                 | 0          |
| 27          | SMA        | "SUNNY TRIPOWER CORE 1"	| 50              | 400  | 72.5  | 0    | 0    | 0                  | 0        | 0        | 0                 | 0          |
| 28          | SMA        | "SUNNY TRIPOWER CORE 2"	| 110             | 400  | 159   | 0    | 0    | 0                  | 0        | 0        | 0                 | 0          |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------